2021/01/28, 312.5571664405616
2021/02/01, 306.2846308494467
2021/02/05, 303.1483630538893
2021/02/09, 295.4283192494402
2021/02/12, 292.53330282277176
2021/02/16, 286.26076723165687
2021/02/20, 283.84825354276654
2021/02/24, 280.95323711609814
2021/03/11, 268.6494173027574
2021/03/15, 265.754400876089
2021/03/19, 265.754400876089
2021/03/27, 267.20190908942317
2021/03/30, 272.99194194276004
2021/04/03, 273.7156960494271
2021/04/07, 271.5444337294258
2021/04/10, 271.5444337294258
2021/04/14, 272.2681878360929
2021/04/18, 273.233193311649
2021/04/22, 272.2681878360929
2021/04/26, 272.2681878360929
2021/04/30, 274.9219528938723
2021/05/04, 272.2681878360929
2021/05/08, 272.2681878360929
2021/05/12, 271.5444337294258
2021/05/15, 272.2681878360929
2021/05/19, 273.3538189960936
2021/05/24, 274.1981987872052
2021/05/27, 278.78197479609685
2021/05/30, 280.229483009431
2021/06/04, 279.2644775338749
2021/06/07, 281.67699122276525
2021/06/11, 283.60700217387756
2021/06/15, 285.2957617561008
2021/06/19, 288.67328092054726
2021/06/23, 292.53330282277176
2021/06/27, 295.1870678805512
2021/06/30, 299.7708438894428
2021/07/04, 302.4246089472222
2021/07/07, 307.00838495611384
2021/07/11, 311.3509095961165
2021/07/15, 313.52217191611777
2021/07/19, 310.44621696278256
2021/07/23, 305.5608767427796
2021/07/26, 297.3583302005525
2021/07/30, 293.980811036106
2021/08/03, 286.984521338324
2021/08/07, 282.40074532943237
2021/08/10, 275.88695836942844
2021/08/14, 272.2681878360929
2021/08/18, 267.9256631960903
2021/08/21, 269.3731714094245
2021/08/25, 272.2681878360929
2021/08/29, 273.7156960494271
2021/09/01, 273.3538189960936
2021/09/06, 273.233193311649
2021/09/10, 273.7156960494271
2021/09/13, 276.6107124760955
2021/09/18, 276.3694611072065
2021/09/21, 280.95323711609814
2021/09/25, 283.1244994360994
2021/09/29, 286.74326996943495
2021/10/03, 288.9145322894363
2021/10/06, 292.17142576943826
2021/10/10, 295.6695706183292
2021/10/14, 297.3583302005525
2021/10/18, 300.4945979961099
2021/10/22, 301.21835210277703
2021/10/26, 302.18335757833313
2021/10/30, 302.6658603161112
2021/11/03, 304.11336852944544
2021/11/07, 304.11336852944544
2021/11/11, 305.5608767427796
2021/11/15, 306.7671335872248
2021/11/18, 309.5415243294487
2021/11/22, 317.1409424494533
2021/11/25, 321.48346708945587
2021/11/29, 329.9272650005721
2021/12/03, 334.5110410094637
2021/12/06, 343.19609028946894
2021/12/09, 348.2623690361387
2021/12/17, 360.56618884947943
2021/12/24, 364.908713489482
2021/12/28, 359.8424347428123
2021/12/31, 357.9124237917
2022/01/04, 351.8811395694742
2022/01/11, 346.81486082280446
2022/01/15, 343.91984439613606
2022/01/19, 339.81857112502246
2022/01/23, 333.4254098494631
2022/01/27, 328.7210081561269
2022/01/30, 322.207221196123
2022/02/02, 318.58845066278747
2022/02/06, 312.5571664405616
2022/02/09, 309.17964727611513
2022/02/13, 301.9421062094441
