"Date","Type","Calls"
2019-03-15,"SevenDayAverage",271.88333083034
2019-03-15,"Baseline",277.265471169339
2019-03-16,"SevenDayAverage",271.067584628738
2019-03-16,"Baseline",276.684765070775
2019-03-17,"SevenDayAverage",270.251838427136
2019-03-17,"Baseline",276.104058972212
2019-03-18,"SevenDayAverage",269.436092225534
2019-03-18,"Baseline",275.523352873648
2019-03-19,"SevenDayAverage",268.620346023932
2019-03-19,"Baseline",274.942646775084
2019-03-20,"SevenDayAverage",267.80459982233
2019-03-20,"Baseline",274.361940676521
2019-03-21,"SevenDayAverage",266.988853620728
2019-03-21,"Baseline",273.781234577957
2019-03-22,"SevenDayAverage",262.352437745474
2019-03-22,"Baseline",272.931111507065
2019-03-23,"SevenDayAverage",257.716021870219
2019-03-23,"Baseline",272.080988436172
2019-03-24,"SevenDayAverage",260.879567204334
2019-03-24,"Baseline",268.107567531965
2019-03-25,"SevenDayAverage",264.043112538448
2019-03-25,"Baseline",264.134146627758
2019-03-26,"SevenDayAverage",267.206657872562
2019-03-26,"Baseline",260.16072572355
2019-03-27,"SevenDayAverage",268.27079149729
2019-03-27,"Baseline",270.115082356954
2019-03-28,"SevenDayAverage",271.957446781081
2019-03-28,"Baseline",263.76614048931
2019-03-29,"SevenDayAverage",275.644102064871
2019-03-29,"Baseline",257.417198621665
2019-03-30,"SevenDayAverage",274.84225224194
2019-03-30,"Baseline",251.069078939073
2019-03-31,"SevenDayAverage",274.040402419009
2019-03-31,"Baseline",244.72095925648
2019-04-01,"SevenDayAverage",274.119330148169
2019-04-01,"Baseline",267.422415447624
2019-04-02,"SevenDayAverage",275.67385378777
2019-04-02,"Baseline",260.449207510457
2019-04-03,"SevenDayAverage",277.228377427372
2019-04-03,"Baseline",253.47599957329
2019-04-04,"SevenDayAverage",276.990456215016
2019-04-04,"Baseline",265.630309802654
2019-04-05,"SevenDayAverage",277.500586413075
2019-04-05,"Baseline",264.959397296258
2019-04-06,"SevenDayAverage",278.010716611134
2019-04-06,"Baseline",264.288484789863
2019-04-07,"SevenDayAverage",281.316531615347
2019-04-07,"Baseline",264.716223212672
2019-04-08,"SevenDayAverage",277.594274317497
2019-04-08,"Baseline",235.243967527178
2019-04-09,"SevenDayAverage",275.497739288251
2019-04-09,"Baseline",262.068640722084
2019-04-10,"SevenDayAverage",272.399822921304
2019-04-10,"Baseline",247.175524166927
2019-04-11,"SevenDayAverage",269.301906554358
2019-04-11,"Baseline",232.282407611771
2019-04-12,"SevenDayAverage",271.629918826665
2019-04-12,"Baseline",260.367492891924
2019-04-13,"SevenDayAverage",269.592217199439
2019-04-13,"Baseline",252.209489276723
2019-04-14,"SevenDayAverage",267.554515572213
2019-04-14,"Baseline",244.051485661521
2019-04-15,"SevenDayAverage",270.686400498783
2019-04-15,"Baseline",236.390010687402
2019-04-16,"SevenDayAverage",273.818285425353
2019-04-16,"Baseline",228.728535713282
2019-04-17,"SevenDayAverage",271.913048976361
2019-04-17,"Baseline",257.582966479409
2019-04-18,"SevenDayAverage",278.184291623289
2019-04-18,"Baseline",258.011606590593
2019-04-19,"SevenDayAverage",278.186586300578
2019-04-19,"Baseline",227.395833751349
2019-04-20,"SevenDayAverage",278.211868259419
2019-04-20,"Baseline",256.669781577802
2019-04-21,"SevenDayAverage",275.868981298824
