"Date","SevenDayAverage","Baseline"
2019-01-26,294.919399822627,289.144357987584
2019-01-29,309.579121403892,288.552046004503
2019-02-03,313.13299330238,285.590486089096
2019-02-09,299.805973683049,283.813550139851
2019-02-14,279.371210266741,282.036614190607
2019-03-03,285.886642080636,271.374998495142
2019-03-26,268.487477577621,250.051767104212
2019-03-29,279.371210266741,246.497895205724
2019-03-31,274.040402419009,244.72095925648
2019-04-03,277.890430309038,241.167087357992
2019-04-08,277.594274317497,235.243967527178
2019-04-11,269.301906554358,232.282407611771
2019-04-14,271.078842503602,229.172769700594
2019-04-16,273.818285425353,228.728535713282
2019-04-19,278.186586300578,227.395833751349
2019-04-22,265.155722672788,228.728535713282
2019-04-25,261.601850774299,228.728535713282
2019-04-27,262.490318748922,229.172769700594
2019-05-06,259.824914825055,230.061237675216
2019-05-09,251.828703053457,230.505471662527
2019-05-12,257.75182288427,230.061237675216
2019-05-14,257.825861882156,230.505471662527
2019-05-17,267.376892609343,230.505471662527
2019-05-20,280.555834232904,230.505471662527
2019-05-23,269.894218537439,230.209315670986
2019-05-31,265.155722672788,228.728535713282
2019-06-06,258.047978875811,227.395833751349
2019-06-17,255.086418960404,228.728535713282
2019-06-23,259.528758833515,231.83817362446
2019-06-30,266.04419064741,237.168981472192
2019-07-15,261.779544369224,243.388257294547
2019-07-17,268.04324359031,242.944023307236
2019-07-20,290.032825962206,242.499789319925
2019-07-23,282.702965171574,240.722853370681
2019-07-25,278.482742292119,239.390151408747
2019-07-28,260.713382799677,237.613215459503
2019-07-30,264.563410689706,235.836279510259
2019-08-05,243.832491281858,232.726641599082
2019-08-08,250.940235078835,232.282407611771
2019-08-16,240.722853370681,231.690095628689
2019-08-19,265.451878664328,232.282407611771
2019-08-25,268.487477577621,234.059343561015
2019-08-27,265.155722672788,234.059343561015
2019-09-10,257.45566689273,238.057449446814
2019-09-13,260.713382799677,239.390151408747
2019-09-18,268.709594571276,242.944023307236
2019-09-24,263.378786723544,244.72095925648
2019-09-26,260.713382799677,246.497895205724
2019-09-29,272.855778452846,248.719065142279
2019-10-02,281.814497196952,250.051767104212
2019-10-10,285.886642080636,254.049872990012
2019-10-13,277.372157323841,255.826808939256
2019-10-18,283.280469355078,259.380680837744
2019-10-24,282.925082165229,261.157616786988
2019-10-26,284.257784127162,263.378786723544
2019-10-29,296.074408189636,264.711488685477
2019-11-01,292.994385877613,266.488424634721
2019-11-04,286.775110055258,267.821126596654
2019-11-06,287.071266046799,269.153828558587
2019-11-12,290.032825962206,272.707700457075
2019-11-15,300.25020767036,275.373104380942
2019-11-20,304.840625539241,282.036614190607
2019-11-22,294.179009843776,285.590486089096
2019-11-27,309.579121403892,292.698229886072
2019-11-30,329.569650832889,294.475165835316
