"Date","Baseline","SevenDayAverage"
2018-12-30,301.905233121979,NA
2018-12-31,302.475551019058,NA
2019-01-01,303.045868916136,NA
2019-01-02,303.616186813215,300.295944795005
2019-01-03,303.893831691964,301.564470056992
2019-01-04,304.171476570713,300.531849016069
2019-01-05,304.449121449462,301.828589610119
2019-01-06,304.431087681965,294.82697937958
2019-01-07,304.413053914469,290.728054309008
2019-01-08,304.404037030721,289.331470512621
2019-01-09,304.911913007842,293.253251387888
2019-01-10,305.419788984964,295.645261579736
2019-01-11,305.93217340396,297.948699673932
2019-01-12,306.444557822956,293.643795165236
2019-01-13,306.956942241952,293.267434194617
2019-01-14,306.941914102372,292.350379547069
2019-01-15,306.926885962791,291.202192112772
2019-01-16,306.911857823211,288.569036636181
2019-01-17,306.752747395402,286.798571512207
2019-01-18,306.593636967594,286.785046186584
2019-01-19,306.434526539786,287.645031474076
2019-01-20,305.324604505896,286.976373188618
2019-01-21,304.214682472007,289.713504605931
2019-01-22,297.567988204417,291.49816234342
2019-01-23,290.921293936828,293.282820080909
2019-01-24,290.328981953747,295.067477818398
2019-01-25,289.736669970665,294.993438820513
2019-01-26,289.144357987584,294.919399822627
2019-01-27,288.94692065989,297.140569759183
2019-01-28,288.749483332196,303.804079568848
2019-01-29,288.552046004503,309.579121403892
2019-01-30,288.157171349115,310.911823365825
2019-01-31,287.762296693727,312.244525327758
2019-02-01,287.36742203834,314.687812257969
2019-02-02,286.478954063718,317.131099188179
2019-02-03,285.590486089096,313.13299330238
2019-02-04,285.294330097555,311.467115849964
2019-02-05,284.998174106014,309.801238397547
2019-02-06,284.702018114474,308.209399943016
2019-02-07,284.405862122933,306.617561488485
2019-02-08,284.109706131392,304.248313556159
2019-02-09,283.813550139851,299.805973683049
2019-02-10,283.458162950003,297.140569759183
2019-02-11,283.102775760154,291.217449928369
2019-02-12,282.747388570305,285.183271600727
2019-02-13,282.392001380456,279.149093273086
2019-02-14,282.036614190607,279.371210266741
2019-02-15,281.592380203296,279.92650275088
2019-02-16,281.148146215985,280.481795235019
2019-02-17,280.703912228674,282.369789681091
2019-02-18,280.259678241363,284.257784127162
2019-02-19,279.815444254052,283.591433146196
2019-02-20,279.371210266741,282.925082165229
2019-02-21,278.92697627943,280.407756237133
2019-02-22,278.482742292119,277.890430309038
2019-02-23,278.038508304808,272.707700457075
2019-02-24,277.594274317497,271.597115488798
2019-02-25,277.150040330186,270.48653052052
2019-02-26,276.705806342875,271.819232482453
2019-02-27,275.639644773328,273.151934444386
2019-02-28,274.573483203782,274.63271440209
2019-03-01,273.507321634235,277.557254818554
2019-03-02,272.441160064689,280.481795235019
2019-03-03,271.374998495142,285.886642080636
2019-03-04,270.48653052052,279.149093273086
2019-03-05,269.598062545898,276.483689349219
2019-03-06,269.153828558587,273.818285425353
2019-03-07,268.709594571276,273.744246427468
2019-03-08,268.265360583965,269.005750562817
2019-03-09,267.821126596654,267.302853611458
2019-03-10,267.376892609343,265.599956660099
2019-03-11,266.932658622032,266.932658622032
2019-03-12,266.488424634721,268.265360583965
2019-03-13,266.04419064741,272.855778452846
2019-03-14,265.599956660099,274.336558410549
2019-03-15,264.489371691821,275.817338368253
2019-03-16,263.378786723544,276.113494359793
2019-03-17,262.490318748922,276.409650351334
2019-03-18,261.601850774299,271.819232482453
2019-03-19,260.713382799677,269.820179539554
2019-03-20,258.936446850433,267.821126596654
2019-03-21,257.159510901189,265.377839666443
2019-03-22,255.974886935026,262.934552736233
2019-03-23,254.790262968864,259.824914825055
2019-03-24,253.605639002701,262.638396744692
2019-03-25,251.828703053457,265.451878664328
2019-03-26,250.051767104212,268.487477577621
2019-03-27,248.86714313805,271.352786795777
2019-03-28,247.682519171887,274.218096013933
2019-03-29,246.497895205724,279.371210266741
2019-03-30,245.609427231102,276.705806342875
2019-03-31,244.72095925648,274.040402419009
2019-04-01,243.536335290317,279.815444254052
2019-04-02,242.351711324154,278.852937281545
2019-04-03,241.167087357992,277.890430309038
2019-04-04,240.57477537491,278.519761791062
2019-04-05,239.982463391829,279.149093273086
2019-04-06,239.390151408747,280.681700529309
2019-04-07,237.317059467963,282.214307785532
2019-04-08,235.243967527178,277.594274317497
2019-04-09,234.256780888709,275.669260372482
2019-04-10,233.26959425024,273.744246427468
2019-04-11,232.282407611771,269.301906554358
2019-04-12,231.245861641378,265.748034655869
2019-04-13,230.209315670986,266.04419064741
2019-04-14,229.172769700594,271.078842503602
2019-04-15,228.950652706938,272.448563964477
2019-04-16,228.728535713282,273.818285425353
2019-04-17,228.284301725971,279.371210266741
2019-04-18,227.84006773866,278.77889828366
2019-04-19,227.395833751349,278.186586300578
2019-04-20,227.84006773866,273.151934444386
2019-04-21,228.284301725971,269.153828558587
2019-04-22,228.728535713282,265.155722672788
2019-04-23,228.728535713282,259.824914825055
2019-04-24,228.728535713282,260.713382799677
2019-04-25,228.728535713282,261.601850774299
2019-04-26,228.950652706938,262.04608476161
2019-04-27,229.172769700594,262.490318748922
2019-04-28,229.024691704823,262.934552736233
2019-04-29,228.876613709053,263.378786723544
2019-04-30,228.728535713282,264.119176702395
2019-05-01,228.728535713282,264.859566681247
2019-05-02,228.728535713282,258.270095869467
2019-05-03,228.728535713282,258.010959376869
2019-05-04,229.172769700594,257.75182288427
2019-05-05,229.617003687905,258.788368854663
2019-05-06,230.061237675216,259.824914825055
2019-05-07,230.209315670986,259.935973321883
2019-05-08,230.357393666756,260.047031818711
2019-05-09,230.505471662527,251.828703053457
2019-05-10,230.357393666756,260.417226808137
2019-05-11,230.209315670986,262.046084761611
2019-05-12,230.061237675216,257.75182288427
2019-05-13,230.283354668871,257.788842383213
2019-05-14,230.505471662527,257.825861882156
2019-05-15,230.505471662527,263.156669729888
2019-05-16,230.505471662527,265.266781169616
2019-05-17,230.505471662527,267.376892609343
2019-05-18,230.505471662527,263.156669729888
2019-05-19,230.505471662527,273.374051438042
2019-05-20,230.505471662527,280.555834232904
2019-05-21,230.40675299868,279.963522249822
2019-05-22,230.308034334833,279.371210266741
2019-05-23,230.209315670986,269.894218537439
2019-05-24,230.308034334833,265.155722672788
2019-05-25,230.40675299868,258.492212863122
2019-05-26,230.505471662527,255.45661394983
2019-05-27,229.617003687905,252.421015036538
2019-05-28,228.728535713282,252.346976038653
2019-05-29,228.728535713282,252.272937040768
2019-05-30,228.728535713282,258.936446850433
2019-05-31,228.728535713282,265.155722672788
2019-06-01,228.728535713282,266.577271432183
2019-06-02,228.728535713282,267.998820191578
2019-06-03,228.728535713282,265.688803457561
2019-06-04,228.284301725971,263.378786723544
2019-06-05,227.84006773866,260.713382799677
2019-06-06,227.395833751349,258.047978875811
2019-06-07,227.395833751349,256.159984429739
2019-06-08,227.395833751349,254.271989983667
2019-06-09,227.395833751349,254.827282467806
2019-06-10,227.395833751349,255.382574951945
2019-06-11,227.395833751349,255.826808939256
2019-06-12,227.395833751349,256.271042926567
2019-06-13,227.395833751349,256.122964930797
2019-06-14,227.395833751349,255.974886935026
2019-06-15,227.395833751349,254.568145975208
2019-06-16,228.062184732316,253.16140501539
2019-06-17,228.728535713282,255.086418960404
2019-06-18,229.320847696364,255.974886935026
2019-06-19,229.913159679445,256.863354909648
2019-06-20,230.505471662527,256.863354909648
2019-06-21,230.949705649838,256.863354909648
2019-06-22,231.393939637149,258.196056871582
2019-06-23,231.83817362446,259.528758833515
2019-06-24,232.726641599082,264.563410689706
2019-06-25,233.615109573704,262.860513738347
2019-06-26,233.911265565245,261.157616786988
2019-06-27,234.207421556785,259.380680837744
2019-06-28,234.503577548326,261.046558290161
2019-06-29,235.836279510259,262.712435742577
2019-06-30,237.168981472192,266.04419064741
2019-07-01,237.317059467963,261.009538791218
2019-07-02,237.465137463733,255.20488135702
2019-07-03,237.613215459503,255.737962141794
2019-07-04,238.205527442585,256.271042926567
2019-07-05,238.797839425666,250.940235078835
2019-07-06,239.390151408747,250.496001091523
2019-07-07,239.982463391829,250.051767104212
2019-07-08,240.57477537491,248.86714313805
2019-07-09,241.167087357992,250.792157083064
2019-07-10,242.055555332614,252.717171028079
2019-07-11,242.944023307236,256.892970508802
2019-07-12,243.055081804064,261.068769989526
2019-07-13,243.166140300891,257.159510901189
2019-07-14,243.277198797719,259.232602841974
2019-07-15,243.388257294547,261.779544369224
2019-07-16,243.166140300891,264.911393979767
2019-07-17,242.944023307236,268.04324359031
2019-07-18,242.795945311465,272.263466469764
2019-07-19,242.647867315695,276.92792333653
2019-07-20,242.499789319925,290.032825962206
2019-07-21,241.907477336843,289.144357987584
2019-07-22,241.315165353762,288.255890012962
2019-07-23,240.722853370681,282.702965171574
2019-07-24,240.056502389714,280.592853731846
2019-07-25,239.390151408747,278.482742292119
2019-07-26,238.797839425666,265.748034655869
2019-07-27,238.205527442585,254.197950985782
2019-07-28,237.613215459503,260.713382799677
2019-07-29,236.724747484881,262.638396744692
2019-07-30,235.836279510259,264.563410689706
2019-07-31,235.725221013431,259.6027978314
2019-08-01,235.614162516604,258.381154366294
2019-08-02,235.503104019776,257.159510901189
2019-08-03,235.392045522948,254.383048480495
2019-08-04,234.059343561015,251.606586059801
2019-08-05,232.726641599082,243.832491281858
2019-08-06,232.578563603312,244.010184876782
2019-08-07,232.430485607541,244.187878471707
2019-08-08,232.282407611771,250.940235078835
2019-08-09,232.134329616,249.829650110557
2019-08-10,231.98625162023,248.719065142279
2019-08-11,231.83817362446,247.608480174002
2019-08-12,231.616056630804,246.497895205724
2019-08-13,231.393939637149,242.055555332614
2019-08-14,231.492658300996,237.613215459503
2019-08-15,231.591376964843,239.168034415092
2019-08-16,231.690095628689,240.722853370681
2019-08-17,231.887532956383,246.497895205724
2019-08-18,232.084970284077,252.717171028079
2019-08-19,232.282407611771,265.451878664328
2019-08-20,232.726641599082,270.264413526865
2019-08-21,233.170875586393,277.298118325956
2019-08-22,233.615109573704,277.668313315382
2019-08-23,233.763187569474,278.038508304808
2019-08-24,233.911265565245,274.040402419009
2019-08-25,234.059343561015,268.487477577621
2019-08-26,234.059343561015,266.821600125204
2019-08-27,234.059343561015,265.155722672788
2019-08-28,234.503577548326,262.046084761611
2019-08-29,234.947811535637,258.936446850433
2019-08-30,235.392045522948,257.6037448885
2019-08-31,235.392045522948,256.271042926567
2019-09-01,235.392045522948,253.16140501539
2019-09-02,235.392045522948,253.294675211583
2019-09-03,235.98435750603,253.427945407776
2019-09-04,236.576669489111,255.974886935026
2019-09-05,237.168981472192,255.234496956175
2019-09-06,237.168981472192,254.494106977323
2019-09-07,237.168981472192,255.826808939256
2019-09-08,237.465137463733,257.159510901189
2019-09-09,237.761293455274,257.307588896959
2019-09-10,238.057449446814,257.45566689273
2019-09-11,238.501683434125,256.271042926567
2019-09-12,238.945917421436,258.492212863122
2019-09-13,239.390151408747,260.713382799677
2019-09-14,239.982463391829,262.934552736233
2019-09-15,240.57477537491,265.155722672788
2019-09-16,241.167087357992,265.748034655869
2019-09-17,242.055555332614,266.340346638951
2019-09-18,242.944023307236,268.709594571276
2019-09-19,242.944023307236,267.080736617802
2019-09-20,242.944023307236,265.451878664328
2019-09-21,242.944023307236,265.748034655869
2019-09-22,243.536335290317,266.04419064741
2019-09-23,244.128647273399,264.711488685477
2019-09-24,244.72095925648,263.378786723544
2019-09-25,245.609427231102,262.04608476161
2019-09-26,246.497895205724,260.713382799677
2019-09-27,247.238285184576,263.823020710855
2019-09-28,247.978675163428,266.932658622032
2019-09-29,248.719065142279,272.855778452846
2019-09-30,249.16329912959,274.225499913722
2019-10-01,249.607533116901,275.595221374597
2019-10-02,250.051767104212,281.814497196952
2019-10-03,250.644079087294,282.369789681091
2019-10-04,251.236391070375,282.925082165229
2019-10-05,251.828703053457,282.925082165229
2019-10-06,252.939288021734,282.925082165229
2019-10-07,254.049872990012,285.590486089096
2019-10-08,254.049872990012,288.255890012962
2019-10-09,254.049872990012,287.071266046799
2019-10-10,254.049872990012,285.886642080636
2019-10-11,254.642184973093,284.850096110244
2019-10-12,255.234496956175,283.813550139851
2019-10-13,255.826808939256,277.372157323841
2019-10-14,256.271042926567,276.594747846047
2019-10-15,256.715276913878,275.817338368253
2019-10-16,257.159510901189,277.150040330186
2019-10-17,258.270095869467,278.482742292119
2019-10-18,259.380680837744,283.280469355078
2019-10-19,259.824914825055,285.62010168825
2019-10-20,260.269148812366,287.959734021421
2019-10-21,260.713382799677,286.182798072177
2019-10-22,260.861460795448,284.405862122933
2019-10-23,261.009538791218,283.665472144081
2019-10-24,261.157616786988,282.925082165229
2019-10-25,262.268201755266,283.591433146196
2019-10-26,263.378786723544,284.257784127162
2019-10-27,263.823020710855,290.032825962206
2019-10-28,264.267254698166,293.053617075921
2019-10-29,264.711488685477,296.074408189636
2019-10-30,265.303800668558,296.607488974409
2019-10-31,265.896112651639,297.140569759183
2019-11-01,266.488424634721,292.994385877613
2019-11-02,266.932658622032,288.552046004503
2019-11-03,267.376892609343,287.66357802988
2019-11-04,267.821126596654,286.775110055258
2019-11-05,268.487477577621,286.923188051029
2019-11-06,269.153828558587,287.071266046799
2019-11-07,269.301906554358,283.813550139851
2019-11-08,269.449984550128,288.478007006617
2019-11-09,269.598062545898,288.011561319941
2019-11-10,270.634608516291,287.545115633264
2019-11-11,271.671154486683,288.788970797735
2019-11-12,272.707700457075,290.032825962206
2019-11-13,273.596168431698,291.698703414622
2019-11-14,274.48463640632,293.364580867039
2019-11-15,275.373104380942,300.25020767036
2019-11-16,277.594274317497,307.209873471566
2019-11-17,279.815444254052,307.209873471566
